place_id,location_name,formatted_address,user_ratings_total,rating,types
ChIJNWt5wb6vKIQR3izwdqs24RU,"Dra. Mirna Alejandra Maldonado Aceves, Dentista - Odontólogo","Av. Manuel Acuña 2946, Prados Providencia, 44670 Guadalajara, Jal., Mexico",3,5,"['dentist', 'health', 'point_of_interest', 'establishment']"
ChIJ6fKV4x2vKIQRF34er2LAjCA,"Dr. Diego Arturo Cárdenas Muñoz, Dentista - Odontólogo","Av. Manuel Acuña 2946, Prados Providencia, 44670 Guadalajara, Jal., Mexico",1,1,"['dentist', 'health', 'point_of_interest', 'establishment']"
